Sezon	Wyścig	Klasa	Grupa	#		Nazwisko menadżera	Nazwisko kierowcy	OW	Pensja	Długość	Nazwisko dyr technicznego	OW	Pensja	Długość	OW Personelu
83	3	Rookie	3	06.		B.  Poli	Will Power	91	$1.500.000	14	-	-	-	-	5	
83	3	Rookie	3	07.		P.  Stephan	Aurelian Dumitrescu	90	$500.000	14	-	-	-	-	4	
83	3	Rookie	3	08.		Á.  Pérez De Dios	Domenico Latif	90	$410.000	14	-	-	-	-	4	
83	3	Rookie	3	09.		L.  Hanzelka	Patryk Kornacki	89	$1.000.005	14	-	-	-	-	3	
83	3	Rookie	3	10.		S.  Nation	Jaap Van Lagen	88	$500.000	14	-	-	-	-	3	
83	3	Rookie	3	11.		I.  Sepsetto	Julia Kath	87	$380.000	9	-	-	-	-	11	
83	3	Rookie	3	12.		K.  Tamme	Raul Calos Pace	85	$700.000	14	-	-	-	-	3	
83	3	Rookie	3	13.		J.  Mazzi	Rupert Keegan	85	$712.304	14	-	-	-	-	4	
83	3	Rookie	3	14.		I.  Po	Neel Grosjean	84	$948.000	7	-	-	-	-	3	
83	3	Rookie	3	15.		K.  Kaushik	Marco Naspetti	82	$972.000	8	-	-	-	-	4	
83	3	Rookie	3	16.		M.  Moaktmoakt	Ronnie Nilsson	81	$996.000	3	-	-	-	-	3	
83	3	Rookie	3	17.		Á.  Dukai	Francois Duval	81	$1.044.000	10	-	-	-	-	4	
83	3	Rookie	3	18.		P.  Beswick	Marco Paletti	80	$960.000	7	-	-	-	-	3	
83	3	Rookie	3	19.		H.  Hughes	Jörg Winkelhock	80	$1.008.000	4	-	-	-	-	3	
83	3	Rookie	3	20.		T.  Matjila	Bryan Vasser	80	$984.000	7	-	-	-	-	3	
83	3	Rookie	3	21.		E.  Dominguez	Skip Barron	78	$500.000	14	-	-	-	-	9	
83	3	Rookie	3	22.		D.  Neary	Stefano Quintarelli	75	$972.000	8	-	-	-	-	3	
83	3	Rookie	3	23.		V.  Alexandrov	Costi Porcisteanu	74	$2.064.079	12	-	-	-	-	3	
83	3	Rookie	3	24.		J.  Chirinos	Jean-Denis Moser	71	$864.000	1	-	-	-	-	3	
83	3	Rookie	3	25.		A.  Garrido	-	-	-	-	-	-	-	-	3	
83	3	Rookie	3	26.		G.  Lukács	-	-	-	-	-	-	-	-	3	
83	3	Rookie	3	27.		K.  Särkkä	-	-	-	-	-	-	-	-	3	
83	3	Rookie	4	01.		M.  Scali	Robbie Sutcliffe	98	$1.641.068	14	-	-	-	-	6	
83	3	Rookie	4	02.		A.  Piccio	William Irvine	97	$1.425.000	14	-	-	-	-	6	
83	3	Rookie	4	03.		S.  Mansilla	Tomas Montanari	95	$350.000	14	-	-	-	-	3	
83	3	Rookie	4	04.		E.  Scafuro	Mark Antinucci F	94	$600.000	14	-	-	-	-	15	
83	3	Rookie	4	05.		M.  Jan	Chris Elford	94	$438.909	14	-	-	-	-	3	
83	3	Rookie	4	06.		R.  Conessa	Pierre Hülkenberg	94	$898.000	14	-	-	-	-	10	
83	3	Rookie	4	07.		A.  Martez	Keke Raikkonen	94	$505.000	14	-	-	-	-	3	
83	3	Rookie	4	08.		P.  Bruneau	Hernando Ribeiro	92	$430.000	15	-	-	-	-	6	
83	3	Rookie	4	09.		M.  Camacho	Aurelian Andronache	90	$850.000	14	-	-	-	-	3	
83	3	Rookie	4	10.		R.  Harvey	Lewis Morgan	89	$397.600	14	-	-	-	-	6	
83	3	Rookie	4	11.		B.  Mihályi	Stephen Jelley	88	$624.828	5	-	-	-	-	8	
83	3	Rookie	4	12.		E.  Senior	Jean-Marc Prost	88	$420.000	14	-	-	-	-	6	
83	3	Rookie	4	13.		L.  Mendes	Alan Brabham	88	$800.000	14	-	-	-	-	4	
83	3	Rookie	4	14.		I.  Böcskei	Steven Watson	87	$405.160	14	-	-	-	-	3	
83	3	Rookie	4	15.		J.  Silva	Jean Prost	87	$900.000	14	-	-	-	-	3	
83	3	Rookie	4	16.		A.  Achwerdiew	Alex Garcia	84	$1.075.200	15	-	-	-	-	3	
83	3	Rookie	4	17.		M.  Stivala	Taki Ihara	83	$996.000	7	-	-	-	-	3	
83	3	Rookie	4	18.		J.  Tralamazza	Michael Weidler	83	$530.904	17	-	-	-	-	3	
83	3	Rookie	4	19.		M.  Baciu	Riccardo Trulli	81	$996.000	15	-	-	-	-	3	
83	3	Rookie	4	20.		R.  Mctarsney Jr.	Kenny Redman	81	$600.000	16	-	-	-	-	3	
83	3	Rookie	4	21.		S.  Aggiato	Gilles Tinguely	80	$2.355.734	8	-	-	-	-	3	
83	3	Rookie	4	22.		Y.  Rykov	Matteo Gabbiani	80	$350.000	16	-	-	-	-	10	
83	3	Rookie	4	23.		A.  Katakam	Brett Foyt Iv	78	$900.000	7	-	-	-	-	3	
83	3	Rookie	4	24.		G.  Bachoco	Bernhard Lauda	76	$375.000	12	-	-	-	-	4	
83	3	Rookie	4	25.		S.  Voggenreither	Nick Warwick	72	$690.838	14	-	-	-	-	3	
83	3	Rookie	4	26.		T.  Báder	Dario Needell	69	$2.079.494	15	-	-	-	-	11	
83	3	Rookie	4	27.		J.  Brouwer	Domenico Larini	67	$275.000	15	-	-	-	-	5	
83	3	Rookie	4	28.		Á.  Winkler	Sakon Ihara	64	$305.000	16	-	-	-	-	3	
83	3	Rookie	4	29.		J.  Makkonen	-	-	-	-	-	-	-	-	3	
83	3	Rookie	4	30.		H.  Moser	-	-	-	-	-	-	-	-	3	
